(('comput', 'science', 'comput', 'engin', 'technic', 'disciplin'), 25) 1.80%
(('training', 'develop', 'opportun', 'team', 'member', 'understand'), 20) 1.44%
(('develop', 'opportun', 'team', 'member', 'understand', 'purpos'), 20) 1.44%
(('opportun', 'team', 'member', 'understand', 'purpos', 'values'), 20) 1.44%
(('team', 'member', 'understand', 'purpos', 'values', 'explor'), 20) 1.44%
(('member', 'understand', 'purpos', 'values', 'explor', 'opportun'), 20) 1.44%
(('understand', 'purpos', 'values', 'explor', 'opportun', 'impact'), 20) 1.44%
(('purpos', 'values', 'explor', 'opportun', 'impact', 'minimum'), 20) 1.44%
(('values', 'explor', 'opportun', 'impact', 'minimum', '6'), 20) 1.44%
(('explor', 'opportun', 'impact', 'minimum', '6', '8'), 20) 1.44%
(('opportun', 'impact', 'minimum', '6', '8', 'year'), 20) 1.44%
(('impact', 'minimum', '6', '8', 'year', 'actuari'), 20) 1.44%
(('minimum', '6', '8', 'year', 'actuari', 'experience'), 20) 1.44%
(('6', '8', 'year', 'actuari', 'experience', 'ideal'), 20) 1.44%
(('8', 'year', 'actuari', 'experience', 'ideal', 'properti'), 20) 1.44%
(('year', 'actuari', 'experience', 'ideal', 'properti', 'casualti'), 20) 1.44%
(('actuari', 'experience', 'ideal', 'properti', 'casualti', 'insur'), 20) 1.44%
(('experience', 'ideal', 'properti', 'casualti', 'insur', 'industry'), 20) 1.44%
(('ideal', 'properti', 'casualti', 'insur', 'industry', 'corpor'), 20) 1.44%
(('properti', 'casualti', 'insur', 'industry', 'corpor', 'actuari'), 20) 1.44%
(('casualti', 'insur', 'industry', 'corpor', 'actuari', 'reserv'), 20) 1.44%
(('insur', 'industry', 'corpor', 'actuari', 'reserv', 'experi'), 20) 1.44%
(('industry', 'corpor', 'actuari', 'reserv', 'experi', 'prefer'), 20) 1.44%
(('corpor', 'actuari', 'reserv', 'experi', 'prefer', 'fellow'), 20) 1.44%
(('actuari', 'reserv', 'experi', 'prefer', 'fellow', 'canadian'), 20) 1.44%
(('reserv', 'experi', 'prefer', 'fellow', 'canadian', 'actuari'), 20) 1.44%
(('experi', 'prefer', 'fellow', 'canadian', 'actuari', 'societi'), 20) 1.44%
(('prefer', 'fellow', 'canadian', 'actuari', 'societi', 'fcas'), 20) 1.44%
(('fellow', 'canadian', 'actuari', 'societi', 'fcas', 'equival'), 20) 1.44%
(('canadian', 'actuari', 'societi', 'fcas', 'equival', 'master'), 20) 1.44%
(('actuari', 'societi', 'fcas', 'equival', 'master', 'bachelor'), 20) 1.44%
(('societi', 'fcas', 'equival', 'master', 'bachelor', 'degre'), 20) 1.44%
(('fcas', 'equival', 'master', 'bachelor', 'degre', 'actuari'), 20) 1.44%
(('equival', 'master', 'bachelor', 'degre', 'actuari', 'science'), 20) 1.44%
(('master', 'bachelor', 'degre', 'actuari', 'science', 'statistics'), 20) 1.44%
(('bachelor', 'degre', 'actuari', 'science', 'statistics', 'math'), 20) 1.44%
(('degre', 'actuari', 'science', 'statistics', 'math', 'data'), 20) 1.44%
(('actuari', 'science', 'statistics', 'math', 'data', 'scienc'), 20) 1.44%
(('science', 'statistics', 'math', 'data', 'scienc', 'leadership'), 20) 1.44%
(('statistics', 'math', 'data', 'scienc', 'leadership', 'experi'), 20) 1.44%
(('math', 'data', 'scienc', 'leadership', 'experi', 'prefer'), 20) 1.44%
(('data', 'scienc', 'leadership', 'experi', 'prefer', 'solid'), 20) 1.44%
(('scienc', 'leadership', 'experi', 'prefer', 'solid', 'technic'), 20) 1.44%
(('leadership', 'experi', 'prefer', 'solid', 'technic', 'knowledg'), 20) 1.44%
(('experi', 'prefer', 'solid', 'technic', 'knowledg', 'program'), 20) 1.44%
(('prefer', 'solid', 'technic', 'knowledg', 'program', 'skill'), 20) 1.44%
(('solid', 'technic', 'knowledg', 'program', 'skill', 'experi'), 20) 1.44%
(('technic', 'knowledg', 'program', 'skill', 'experi', 'modern'), 20) 1.44%
