(('dental', 'care', 'extend', 'health', 'care'), 51) 6.43%
(('softwar', 'requir', 'plan', 'design', 'write'), 28) 3.53%
(('requir', 'plan', 'design', 'write', 'modify'), 28) 3.53%
(('health', 'care', 'flexibl', 'schedul', 'life'), 27) 3.40%
(('care', 'flexibl', 'schedul', 'life', 'insur'), 27) 3.40%
(('vision', 'care', 'work', '8', 'hour'), 27) 3.40%
(('care', 'work', '8', 'hour', 'shift'), 27) 3.40%
(('paid', 'time', 'vision', 'care', 'work'), 27) 3.40%
(('integr', 'test', 'softwar', 'code', 'identifi'), 26) 3.28%
(('test', 'softwar', 'code', 'identifi', 'commun'), 26) 3.28%
(('softwar', 'code', 'identifi', 'commun', 'technic'), 26) 3.28%
(('code', 'identifi', 'commun', 'technic', 'problems'), 26) 3.28%
(('identifi', 'commun', 'technic', 'problems', 'process'), 26) 3.28%
(('commun', 'technic', 'problems', 'process', 'solut'), 26) 3.28%
(('evalu', 'varieti', 'interact', 'media', 'softwar'), 26) 3.28%
(('varieti', 'interact', 'media', 'softwar', 'product'), 26) 3.28%
(('maintain', 'exist', 'comput', 'program', 'make'), 25) 3.15%
(('exist', 'comput', 'program', 'make', 'modif'), 25) 3.15%
(('comput', 'program', 'make', 'modif', 'requir'), 25) 3.15%
(('consult', 'client', 'develop', 'document', 'websit'), 25) 3.15%
(('client', 'develop', 'document', 'websit', 'requir'), 25) 3.15%
(('effect', 'interperson', 'skill', 'team', 'player'), 24) 3.03%
(('assist', 'develop', 'logic', 'physic', 'specif'), 23) 2.90%
(('integr', 'test', 'websit', 'code', 'conduct'), 23) 2.90%
(('test', 'websit', 'code', 'conduct', 'test'), 23) 2.90%
(('websit', 'code', 'conduct', 'test', 'perform'), 23) 2.90%
(('code', 'conduct', 'test', 'perform', 'secur'), 23) 2.90%
(('conduct', 'test', 'perform', 'secur', 'qualiti'), 23) 2.90%
(('test', 'perform', 'secur', 'qualiti', 'control'), 23) 2.90%
(('prepar', 'reports', 'manual', 'document', 'status'), 22) 2.77%
(('reports', 'manual', 'document', 'status', 'oper'), 22) 2.77%
(('manual', 'document', 'status', 'oper', 'mainten'), 22) 2.77%
(('document', 'status', 'oper', 'mainten', 'softwar'), 22) 2.77%
(('status', 'oper', 'mainten', 'softwar', 'assist'), 22) 2.77%
(('assist', 'collect', 'document', 'user', 'requir'), 22) 2.77%
(('lead', 'coordin', 'multidisciplinari', 'team', 'develop'), 22) 2.77%
(('coordin', 'multidisciplinari', 'team', 'develop', 'websit'), 22) 2.77%
(('multidisciplinari', 'team', 'develop', 'websit', 'graphics'), 22) 2.77%
(('team', 'develop', 'websit', 'graphics', 'content'), 22) 2.77%
(('develop', 'websit', 'graphics', 'content', 'capac'), 22) 2.77%
(('websit', 'graphics', 'content', 'capac', 'interact'), 22) 2.77%
(('graphics', 'content', 'capac', 'interact', 'source'), 22) 2.77%
(('content', 'capac', 'interact', 'source', 'select'), 22) 2.77%
(('capac', 'interact', 'source', 'select', 'organ'), 22) 2.77%
(('interact', 'source', 'select', 'organ', 'inclus'), 22) 2.77%
(('technic', 'problems', 'process', 'solut', 'prepar'), 21) 2.65%
(('problems', 'process', 'solut', 'prepar', 'reports'), 21) 2.65%
(('process', 'solut', 'prepar', 'reports', 'manual'), 21) 2.65%
(('solut', 'prepar', 'reports', 'manual', 'document'), 21) 2.65%
(('collect', 'document', 'user', 'requir', 'assist'), 21) 2.65%
(('document', 'user', 'requir', 'assist', 'develop'), 21) 2.65%
(('user', 'requir', 'assist', 'develop', 'logic'), 21) 2.65%
(('requir', 'assist', 'develop', 'logic', 'physic'), 21) 2.65%
(('extend', 'health', 'care', 'life', 'insur'), 21) 2.65%
(('oper', 'mainten', 'softwar', 'assist', 'collect'), 20) 2.52%
(('mainten', 'softwar', 'assist', 'collect', 'document'), 20) 2.52%
(('softwar', 'assist', 'collect', 'document', 'user'), 20) 2.52%
(('integr', 'test', 'softwar', 'code', 'ecommerc'), 20) 2.52%
(('test', 'softwar', 'code', 'ecommerc', 'internet'), 20) 2.52%
(('softwar', 'code', 'ecommerc', 'internet', 'applic'), 20) 2.52%
(('life', 'insur', 'paid', 'time', 'vision'), 20) 2.52%
(('insur', 'paid', 'time', 'vision', 'care'), 20) 2.52%
(('develop', 'document', 'websit', 'requir', 'lead'), 20) 2.52%
