(('write', 'modify', 'integr', 'test'), 58) 12.16%
(('attent', 'sit', 'tight', 'deadlin'), 15) 3.14%
(('dental', 'care', 'disabl', 'insur'), 15) 3.14%
(('varieti', 'softwar', 'product', 'maintain'), 15) 3.14%
(('softwar', 'product', 'maintain', 'exist'), 15) 3.14%
(('product', 'maintain', 'exist', 'comput'), 15) 3.14%
(('dental', 'benefit', 'group', 'insur'), 14) 2.94%
(('flexibl', 'schedul', 'life', 'insur'), 14) 2.94%
(('life', 'insur', 'paid', 'time'), 14) 2.94%
(('consult', 'client', 'develop', 'document'), 14) 2.94%
(('client', 'develop', 'document', 'websit'), 14) 2.94%
(('source', 'select', 'organ', 'inclus'), 14) 2.94%
(('select', 'organ', 'inclus', 'design'), 14) 2.94%
(('organ', 'inclus', 'design', 'appearance'), 14) 2.94%
(('inclus', 'design', 'appearance', 'layout'), 14) 2.94%
(('design', 'appearance', 'layout', 'flow'), 14) 2.94%
(('creat', 'optim', 'content', 'websit'), 14) 2.94%
(('optim', 'content', 'websit', 'varieti'), 14) 2.94%
(('content', 'websit', 'varieti', 'graphics'), 14) 2.94%
(('websit', 'varieti', 'graphics', 'database'), 14) 2.94%
(('varieti', 'graphics', 'database', 'anim'), 14) 2.94%
(('plan', 'design', 'write', 'modify'), 14) 2.94%
(('design', 'write', 'modify', 'integr'), 14) 2.94%
(('modify', 'integr', 'test', 'websit'), 14) 2.94%
(('integr', 'test', 'websit', 'code'), 14) 2.94%
(('benefit', 'life', 'insur', 'benefit'), 13) 2.73%
(('extend', 'health', 'care', 'life'), 13) 2.73%
(('health', 'care', 'life', 'insur'), 13) 2.73%
(('8', 'hour', 'shift', 'monday'), 13) 2.73%
(('hour', 'shift', 'monday', 'friday'), 13) 2.73%
(('benefit', 'dental', 'benefit', 'group'), 13) 2.73%
(('evalu', 'varieti', 'interact', 'media'), 13) 2.73%
(('varieti', 'interact', 'media', 'softwar'), 13) 2.73%
(('develop', 'document', 'websit', 'requir'), 13) 2.73%
(('appearance', 'layout', 'flow', 'websit'), 13) 2.73%
(('layout', 'flow', 'websit', 'creat'), 13) 2.73%
(('flow', 'websit', 'creat', 'optim'), 13) 2.73%
(('websit', 'creat', 'optim', 'content'), 13) 2.73%
