(('plan', 'design', 'write', 'modify', 'integr', 'test'), 66) 5.15%
(('commun', 'excel', 'written', 'commun', 'client', 'focu'), 26) 2.03%
(('maintain', 'exist', 'comput', 'program', 'make', 'modif'), 25) 1.95%
(('exist', 'comput', 'program', 'make', 'modif', 'requir'), 25) 1.95%
(('modify', 'integr', 'test', 'softwar', 'code', 'identifi'), 24) 1.87%
(('integr', 'test', 'softwar', 'code', 'identifi', 'commun'), 24) 1.87%
(('test', 'softwar', 'code', 'identifi', 'commun', 'technic'), 24) 1.87%
(('softwar', 'code', 'identifi', 'commun', 'technic', 'problems'), 24) 1.87%
(('code', 'identifi', 'commun', 'technic', 'problems', 'process'), 24) 1.87%
(('identifi', 'commun', 'technic', 'problems', 'process', 'solut'), 24) 1.87%
(('prepar', 'reports', 'manual', 'document', 'status', 'oper'), 24) 1.87%
(('reports', 'manual', 'document', 'status', 'oper', 'mainten'), 24) 1.87%
(('employe', 'assist', 'program', 'extend', 'health', 'care'), 24) 1.87%
(('extend', 'health', 'care', 'flexibl', 'schedul', 'life'), 23) 1.80%
(('health', 'care', 'flexibl', 'schedul', 'life', 'insur'), 23) 1.80%
(('softwar', 'html', 'edit', 'softwar', 'web', 'design'), 23) 1.80%
(('initi', 'effect', 'interperson', 'skill', 'team', 'player'), 22) 1.72%
(('commun', 'technic', 'problems', 'process', 'solut', 'prepar'), 22) 1.72%
(('technic', 'problems', 'process', 'solut', 'prepar', 'reports'), 22) 1.72%
(('problems', 'process', 'solut', 'prepar', 'reports', 'manual'), 22) 1.72%
(('process', 'solut', 'prepar', 'reports', 'manual', 'document'), 22) 1.72%
(('solut', 'prepar', 'reports', 'manual', 'document', 'status'), 22) 1.72%
(('manual', 'document', 'status', 'oper', 'mainten', 'softwar'), 22) 1.72%
(('stateoftheart', 'offic', 'design', 'maxim', 'collabor', 'flexibl'), 21) 1.64%
(('offic', 'design', 'maxim', 'collabor', 'flexibl', 'work'), 21) 1.64%
(('design', 'maxim', 'collabor', 'flexibl', 'work', 'arrang'), 21) 1.64%
(('maxim', 'collabor', 'flexibl', 'work', 'arrang', 'enrich'), 21) 1.64%
(('collabor', 'flexibl', 'work', 'arrang', 'enrich', 'challeng'), 21) 1.64%
(('flexibl', 'work', 'arrang', 'enrich', 'challeng', 'provid'), 21) 1.64%
(('work', 'arrang', 'enrich', 'challeng', 'provid', 'opportun'), 21) 1.64%
(('arrang', 'enrich', 'challeng', 'provid', 'opportun', 'constant'), 21) 1.64%
(('enrich', 'challeng', 'provid', 'opportun', 'constant', 'learn'), 21) 1.64%
(('challeng', 'provid', 'opportun', 'constant', 'learn', 'advanc'), 21) 1.64%
(('provid', 'opportun', 'constant', 'learn', 'advanc', 'environ'), 21) 1.64%
