(('bachelor', 'degre', 'comput', 'science', 'engineering'), 52) 4.07%
(('year', 'profession', 'softwar', 'develop', 'experi'), 32) 2.50%
(('profession', 'softwar', 'develop', 'experi', 'strong'), 32) 2.50%
(('softwar', 'develop', 'experi', 'strong', 'softwar'), 32) 2.50%
(('develop', 'experi', 'strong', 'softwar', 'engin'), 32) 2.50%
(('experi', 'strong', 'softwar', 'engin', 'fundament'), 32) 2.50%
(('proven', 'passion', 'build', 'learning', 'open'), 32) 2.50%
(('passion', 'build', 'learning', 'open', 'sourc'), 32) 2.50%
(('build', 'learning', 'open', 'sourc', 'contributions'), 32) 2.50%
(('learning', 'open', 'sourc', 'contributions', 'pet'), 32) 2.50%
(('open', 'sourc', 'contributions', 'pet', 'projects'), 32) 2.50%
(('sourc', 'contributions', 'pet', 'projects', 'selfeducation'), 32) 2.50%
(('contributions', 'pet', 'projects', 'selfeducation', 'stack'), 32) 2.50%
(('pet', 'projects', 'selfeducation', 'stack', 'overflow'), 32) 2.50%
(('projects', 'selfeducation', 'stack', 'overflow', 'experi'), 32) 2.50%
(('disabl', 'insur', 'employe', 'assist', 'program'), 31) 2.42%
(('build', 'structur', 'document', 'rest', 'api'), 31) 2.42%
(('structur', 'document', 'rest', 'api', 'app'), 31) 2.42%
(('document', 'rest', 'api', 'app', 'share'), 31) 2.42%
(('rest', 'api', 'app', 'share', 'data'), 31) 2.42%
(('api', 'app', 'share', 'data', 'eas'), 31) 2.42%
(('ship', 'code', 'laptop', 'classroom', 'frequent'), 31) 2.42%
(('code', 'laptop', 'classroom', 'frequent', 'confid'), 31) 2.42%
(('laptop', 'classroom', 'frequent', 'confid', 'school'), 31) 2.42%
(('classroom', 'frequent', 'confid', 'school', 'administr'), 31) 2.42%
(('frequent', 'confid', 'school', 'administr', 'build'), 31) 2.42%
(('confid', 'school', 'administr', 'build', 'great'), 31) 2.42%
(('school', 'administr', 'build', 'great', 'school'), 31) 2.42%
