(('write', 'modify', 'integr', 'test'), 81) 5.97%
(('health', 'care', 'flexibl', 'schedul'), 37) 2.73%
(('document', 'websit', 'requir', 'lead'), 37) 2.73%
(('websit', 'requir', 'lead', 'coordin'), 37) 2.73%
(('requir', 'lead', 'coordin', 'multidisciplinari'), 37) 2.73%
(('softwar', 'develop', 'life', 'cycl'), 37) 2.73%
(('excel', 'verbal', 'written', 'commun'), 37) 2.73%
(('paid', 'time', 'vision', 'care'), 35) 2.58%
(('written', 'verbal', 'commun', 'skill'), 35) 2.58%
(('year', 'softwar', 'develop', 'experi'), 33) 2.43%
(('media', 'softwar', 'product', 'prepar'), 32) 2.36%
(('softwar', 'product', 'prepar', 'mockup'), 32) 2.36%
(('product', 'prepar', 'mockup', 'storyboard'), 32) 2.36%
(('prepar', 'mockup', 'storyboard', 'consult'), 32) 2.36%
(('mockup', 'storyboard', 'consult', 'client'), 32) 2.36%
(('storyboard', 'consult', 'client', 'develop'), 32) 2.36%
(('flexibl', 'schedul', 'life', 'insur'), 32) 2.36%
(('initi', 'effect', 'interperson', 'skill'), 31) 2.28%
(('life', 'insur', 'paid', 'time'), 31) 2.28%
(('verbal', 'written', 'commun', 'skill'), 31) 2.28%
(('extend', 'health', 'care', 'life'), 30) 2.21%
(('health', 'care', 'life', 'insur'), 30) 2.21%
(('degre', 'comput', 'scienc', 'field'), 30) 2.21%
(('monday', 'friday', 'temporarili', 'covid19'), 30) 2.21%
(('effect', 'interperson', 'skill', 'team'), 29) 2.14%
(('interperson', 'skill', 'team', 'player'), 29) 2.14%
(('degre', 'comput', 'science', 'softwar'), 29) 2.14%
(('compani', 'event', 'dental', 'care'), 28) 2.06%
(('casual', 'dress', 'dental', 'care'), 27) 1.99%
(('casual', 'dress', 'compani', 'event'), 26) 1.92%
(('disabl', 'insur', 'extend', 'health'), 24) 1.77%
(('insur', 'extend', 'health', 'care'), 24) 1.77%
(('vision', 'care', 'monday', 'friday'), 23) 1.69%
(('care', 'disabl', 'insur', 'extend'), 23) 1.69%
(('fastpac', 'environ', 'work', 'pressur'), 22) 1.62%
(('care', 'flexibl', 'schedul', 'life'), 22) 1.62%
(('team', 'player', 'excel', 'oral'), 21) 1.55%
(('player', 'excel', 'oral', 'commun'), 21) 1.55%
(('care', 'work', '8', 'hour'), 20) 1.47%
(('excel', 'oral', 'commun', 'excel'), 20) 1.47%
